,tripName,vesselName,timeStart,timeEnd,longitudeStart,longitudeEnd,latitudeStart,latitudeEnd,currentSpeedOverGround,timestampEta,destination,typeOfShipId,length,width,draught,dimA,dim,dimC,dimD
64,trip_64,vessel_39,2019-08-16 06:00:03,2019-08-18 11:20:23,8.524468333333333,4.667038333333333,50.07287,51.845335,6.3,2019-06-17 12:00:00,STRAUBING,79.0,110.0,12.0,1.8,98.0,12.0,10.0,2.0
65,trip_65,vessel_40,2019-02-19 15:19:17,2019-02-21 19:10:00,8.573286666666666,4.644501666666667,50.09210333333333,51.80725666666667,8.3,2019-02-14 14:00:00,SCHWEINFURT,82.0,110.0,11.0,2.6,95.0,15.0,3.0,8.0
66,trip_66,vessel_21,2019-02-09 09:42:46,2019-02-13 11:30:12,8.66039,4.679748333333333,50.09799833333334,51.82093833333333,7.0,2019-12-31 23:59:00,MANNHEIM,79.0,135.0,12.0,3.6,122.0,13.0,8.0,4.0
67,trip_67,vessel_41,2019-12-21 05:17:23,2019-12-22 06:50:38,8.525843333333333,4.676935,50.07049166666667,51.821325,7.9,2019-12-20 04:00:00,DEFRA03902CITYX00215,80.0,110.0,12.0,2.7,100.0,10.0,7.0,5.0
68,trip_68,vessel_42,2019-03-06 09:52:07,2019-03-08 09:20:10,8.60435,4.6919933333333335,50.08824666666667,51.820965,3.6,2019-11-30 00:00:00,ROTTERDAM,79.0,111.0,11.0,2.5,100.0,11.0,7.0,4.0
69,trip_69,vessel_31,2019-09-06 06:20:06,2019-09-08 12:00:01,8.525745,4.676495,50.08344166666666,51.82180333333334,5.5,2019-11-30 00:00:00,ROTTERDAM,70.0,106.0,12.0,1.0,96.0,10.0,4.0,8.0
70,trip_70,vessel_43,2019-03-22 02:40:09,2019-03-24 09:50:34,8.5233333333333,4.649025,50.083333333332995,51.81082333333333,0.0,2019-12-04 23:30:00,NLRTM01202DOCKX0003,80.0,110.0,12.0,1.7,105.0,5.0,10.0,2.0
71,trip_71,vessel_3,2019-03-05 19:40:14,2019-03-08 13:20:25,8.704513333333333,4.692853333333334,50.10686166666667,51.82256333333334,7.8,2019-03-05 12:58:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
72,trip_72,vessel_44,2019-01-31 11:04:45,2019-02-01 21:10:01,8.595,4.69508,50.088333333333,51.82257833333333,5.0,2019-01-03 12:30:00,DEMHE03900CITYX04240,80.0,135.0,12.0,2.9,123.0,12.0,4.0,8.0
73,trip_73,vessel_45,2019-04-16 09:44:12,2019-04-17 12:50:50,8.56,4.68334,50.098333333332995,51.82155833333334,8.0,2019-04-05 17:44:00,ANTWERP DRY DOCKS,80.0,125.0,12.0,2.2,125.0,0.0,6.0,6.0
74,trip_74,vessel_31,2019-07-04 17:20:02,2019-07-07 08:00:01,8.523473333333332,4.672486666666667,50.07431833333333,51.821493333333336,6.8,2019-11-30 00:00:00,NLRTM01202DOCKX00038,70.0,106.0,12.0,1.0,96.0,10.0,4.0,8.0
75,trip_75,vessel_46,2019-05-18 06:20:12,2019-05-19 15:20:16,8.52295,4.650085,50.075525,51.810415,7.1,2019-05-11 12:00:00,FRANKFURT,79.0,110.0,11.0,2.4,99.0,11.0,8.0,3.0
76,trip_76,vessel_36,2019-12-12 18:20:14,2019-12-13 22:31:30,8.524543333333334,4.681256666666667,50.08121,51.82138333333333,0.6,2019-12-11 21:00:00,HOECHST,89.0,85.0,9.0,1.4,75.0,10.0,7.0,2.0
77,trip_77,vessel_47,2019-07-07 21:51:28,2019-07-11 10:33:11,8.522488333333332,4.662025,50.07852000000001,51.818935,7.5,2019-07-06 23:39:00,HANAU,80.0,125.0,12.0,2.9,112.0,13.0,4.0,8.0
78,trip_78,vessel_21,2019-06-25 20:20:11,2019-06-29 09:20:16,8.525055,4.681606666666666,50.08301166666666,51.82111,5.7,2019-12-31 23:59:00,MANNHEIM,79.0,135.0,12.0,3.6,122.0,13.0,8.0,4.0
79,trip_79,vessel_48,2019-05-07 16:30:18,2019-05-09 00:20:19,8.524358333333334,4.6750099999999986,50.08162666666666,51.82110333333333,1.1,2019-06-01 06:00:00,HOECHST,89.0,110.0,14.0,,1.0,109.0,5.0,9.0
80,trip_80,vessel_49,2019-10-11 05:01:41,2019-10-12 10:00:03,8.523691666666666,4.686028333333334,50.073815,51.82167333333334,6.5,2019-12-09 12:54:00,SCHOTEN,79.0,135.0,12.0,1.0,122.0,13.0,3.0,9.0
81,trip_81,vessel_50,2019-03-09 17:26:14,2019-03-10 20:50:32,8.718013333333333,4.68419,50.10630166666667,51.82138333333333,8.5,2019-03-06 19:21:00,MOERDIJK,89.0,110.0,12.0,1.0,98.0,12.0,4.0,8.0
82,trip_82,vessel_51,2019-09-01 07:20:24,2019-09-02 13:50:45,8.524116666666666,4.638553333333333,50.07313333333333,51.804455,8.1,2019-08-28 01:00:00,ROTTERDAM,80.0,125.0,12.0,,113.0,12.0,8.0,4.0
83,trip_83,vessel_17,2019-10-12 18:00:09,2019-10-14 00:20:08,8.526055,4.66037,50.07031,51.818095,7.2,2019-10-12 12:00:00,HCHST,79.0,135.0,11.0,1.7,120.0,15.0,7.0,4.0
84,trip_84,vessel_50,2019-10-15 18:00:10,2019-10-17 06:00:08,8.522495,4.678785,50.078421666666664,51.82139166666666,7.0,2019-09-16 20:21:00,STOCKSTADT,89.0,110.0,12.0,2.6,98.0,12.0,4.0,8.0
85,trip_85,vessel_20,2019-02-25 03:07:41,2019-02-26 11:50:21,8.524455,4.633955,50.08352166666667,51.80264666666667,0.1,2019-02-24 02:00:00,HOECHST,80.0,110.0,12.0,2.5,100.0,10.0,5.0,7.0
86,trip_86,vessel_2,2019-01-03 14:25:41,2019-01-04 16:52:11,8.5233333333333,4.652166666666667,50.083333333332995,51.81325,0.0,2018-11-30 00:00:00,NVT,89.0,105.0,12.0,2.4,95.0,10.0,8.0,4.0
87,trip_87,vessel_5,2019-01-19 21:37:14,2019-01-21 00:51:29,8.5233333333333,4.698025,50.083333333332995,51.820025,0.0,2019-01-19 02:00:00,DEFRA03902BRDG100220,80.0,110.0,12.0,2.3,110.0,0.0,12.0,0.0
88,trip_88,vessel_12,2019-06-19 11:23:55,2019-06-20 16:30:24,8.525501666666667,4.690826666666666,50.07094166666667,51.82233166666666,7.6,2019-11-30 00:00:00,NLRTM00697DOCKX0001,79.0,135.0,12.0,,0.0,135.0,12.0,0.0
89,trip_89,vessel_52,2019-12-01 11:20:26,2019-12-03 15:51:45,8.522673333333334,4.660433333333334,50.07874166666666,51.85040666666666,6.7,2019-11-30 00:00:00,ROTTERDAM,79.0,112.0,12.0,2.4,96.0,16.0,8.0,4.0
90,trip_90,vessel_53,2019-01-04 06:51:15,2019-01-05 10:10:04,8.5266666666667,4.637501666666667,50.085,51.803715,7.0,2019-01-03 14:00:00,FRANKFURT,89.0,110.0,12.0,2.7,92.0,18.0,2.0,10.0
91,trip_91,vessel_12,2019-03-23 23:02:14,2019-03-25 08:50:30,8.5283333333333,4.668293333333334,50.083333333332995,51.844395,0.0,2019-10-04 22:07:00,NLRTM00697DOCKX0001,79.0,135.0,12.0,1.6,132.0,3.0,9.0,3.0
92,trip_92,vessel_50,2019-11-04 19:30:31,2019-11-06 12:50:25,8.523103333333333,4.685691666666667,50.080505,51.82160833333333,7.9,2019-10-23 20:21:00,STOCKSTADT,89.0,110.0,12.0,2.6,98.0,12.0,4.0,8.0
93,trip_93,vessel_28,2019-04-02 17:00:32,2019-04-03 23:20:11,8.618698333333333,4.694138333333333,50.089043333333336,51.82255,7.5,2019-03-30 19:00:00,FRANKFURT,79.0,185.0,11.0,1.5,165.0,20.0,3.0,8.0
94,trip_94,vessel_16,2019-10-25 16:30:34,2019-10-28 06:50:50,8.524196666666667,4.676175,50.073305,51.82136166666667,5.4,2020-01-30 23:59:00,KEULEN,79.0,110.0,12.0,1.7,100.0,10.0,6.0,6.0
95,trip_95,vessel_43,2019-05-04 09:00:14,2019-05-05 16:20:27,8.522348333333333,4.670175,50.07800833333334,51.83038333333333,6.6,2019-12-04 23:30:00,NLRTM01202DOCKX0003,80.0,110.0,12.0,1.7,5.0,105.0,10.0,2.0
96,trip_96,vessel_5,2019-09-30 06:31:42,2019-10-01 12:20:27,8.523816666666667,4.658451666666667,50.08271833333333,51.81724166666667,0.0,2019-09-29 20:00:00,NLRTM01012DOCKX00012,80.0,110.0,12.0,2.0,110.0,0.0,12.0,0.0
97,trip_97,vessel_37,2019-08-09 18:00:07,2019-08-11 10:00:00,8.522598333333333,4.669925,50.07617333333334,51.82920333333333,7.4,,NACH HAUSE,80.0,86.0,10.0,,78.0,8.0,4.0,6.0
98,trip_98,vessel_33,2019-10-29 05:32:26,2019-10-31 08:50:19,8.535801666666666,4.686821666666667,50.089735,51.82151333333334,6.1,2019-10-25 18:00:00,SCHWEINFURT,89.0,110.0,12.0,2.5,96.0,14.0,6.0,6.0
99,trip_99,vessel_54,2019-06-04 18:50:11,2019-06-06 15:50:14,8.522701666666666,4.669675,50.07582833333333,51.82871833333334,7.7,2019-06-05 18:00:00,ROTTERDAM,70.0,110.0,11.0,2.4,93.0,17.0,1.0,10.0
100,trip_100,vessel_33,2019-07-05 08:51:06,2019-07-07 07:50:34,8.599165,4.676965,50.0884,51.821295,0.2,2019-06-29 16:00:00,SCHWEINFURT,89.0,186.0,12.0,2.8,172.0,14.0,6.0,6.0
101,trip_101,vessel_17,2019-03-12 15:49:39,2019-03-14 14:50:42,8.528355,4.6513849999999985,50.08405,51.81277,0.0,2019-03-08 22:00:00,HOECHST,79.0,135.0,11.0,1.7,120.0,15.0,7.0,4.0
